n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,bootstrap,criterion,result
20,,3,10,3,True,entropy,0.769730808704
10,,3,2,10,True,entropy,0.71845011374
15,,3,2,10,True,entropy,0.693947616255
20,,3,2,10,True,entropy,0.723419222659
10,,3,3,10,True,entropy,0.705176931019
15,,3,3,10,True,entropy,0.695293447712
20,,3,3,10,True,entropy,0.753824065032
10,,3,5,10,True,entropy,0.65411457687
15,,3,5,10,True,entropy,0.723293161126
20,,3,5,10,True,entropy,0.734671703484
10,,3,10,10,True,entropy,0.650237622488
15,,3,10,10,True,entropy,0.720255162823
20,,3,10,10,True,entropy,0.730326803472
10,,10,2,1,True,entropy,0.866882852776
15,,10,2,1,True,entropy,0.884138452145
20,,10,2,1,True,entropy,0.890416023899
10,,10,3,1,True,entropy,0.88153745256
15,,10,3,1,True,entropy,0.893588366902
20,,10,3,1,True,entropy,0.899814218253
10,,10,5,1,True,entropy,0.875268718786
15,,10,5,1,True,entropy,0.888320436101
20,,10,5,1,True,entropy,0.887277034747
10,,10,10,1,True,entropy,0.856932041083
15,,10,10,1,True,entropy,0.856315736251
20,,10,10,1,True,entropy,0.866681902012
